song_query,artist_query,intended_arousal,intended_valence,intended_mood
Good Days,SZA,medium,positive,relaxed
Mr. Brightside,The Killers,high,positive,excited
Someone Like You,Adele,low,negative,sad
Blinding Lights,The Weeknd,high,positive,excited
Weightless,Marconi Union,low,positive,relaxed
bad guy,Billie Eilish,medium,negative,tense
Here Comes The Sun,The Beatles,medium,positive,happy
Clair de lune,Claude Debussy,low,positive,relaxed
Lose Yourself,Eminem,high,positive,excited
Mad World,Gary Jules,low,negative,sad
Levitating,Dua Lipa,high,positive,excited
Breathe Me,Sia,low,negative,sad
